Day of Created At,Id,Type,courses_count
"11 February, 2017",137,professor,0
"11 February, 2017",715,professor,0
"11 February, 2017",722,professor,0
"11 February, 2017",729,professor,0
"11 February, 2017",739,professor,0
"11 February, 2017",899,professor,0
"11 February, 2017",913,professor,0
"11 February, 2017",927,professor,0
"11 February, 2017",939,professor,0
"11 February, 2017",960,professor,0
"11 February, 2017",962,professor,0
"11 February, 2017",1109,professor,0
"11 February, 2017",1135,professor,0
"11 February, 2017",1207,professor,0
"11 February, 2017",1239,professor,0
"11 February, 2017",1298,professor,0
"11 February, 2017",1353,professor,0
"11 February, 2017",1389,professor,0
"11 February, 2017",1513,professor,0
"11 February, 2017",1516,professor,0
"11 February, 2017",1619,professor,0
"11 February, 2017",1620,professor,0
"11 February, 2017",1725,professor,0
"11 February, 2017",1739,professor,0
"11 February, 2017",1797,professor,0
"11 February, 2017",1830,professor,0
"11 February, 2017",1879,professor,0
"11 February, 2017",1956,professor,0
"11 February, 2017",2289,professor,1
"11 February, 2017",2424,professor,0
"11 February, 2017",2527,professor,0
"11 February, 2017",2568,professor,0
"11 February, 2017",2731,professor,0
"11 February, 2017",2762,professor,0
"11 February, 2017",2793,professor,0
"11 February, 2017",2860,professor,0
"11 February, 2017",2906,professor,0
"11 February, 2017",2916,professor,0
"11 February, 2017",2951,professor,0
"11 February, 2017",2952,professor,0
"11 February, 2017",2954,professor,0
"11 February, 2017",2976,professor,0
"11 February, 2017",2990,professor,3
"11 February, 2017",3332,professor,0
"11 February, 2017",3453,professor,0
"11 February, 2017",3489,professor,0
"11 February, 2017",3514,professor,0
"11 February, 2017",3605,professor,0
"11 February, 2017",3649,professor,0
"11 February, 2017",3686,professor,0
"11 February, 2017",3702,professor,0
"11 February, 2017",3732,professor,0
"11 February, 2017",3813,professor,0
"11 February, 2017",3944,professor,0
"11 February, 2017",3992,professor,0
"11 February, 2017",4095,professor,0
"11 February, 2017",4109,professor,2
"11 February, 2017",4230,professor,0
"11 February, 2017",4402,professor,0
"11 February, 2017",4573,professor,0
"11 February, 2017",4638,professor,0
"11 February, 2017",4671,professor,0
"11 February, 2017",4701,professor,0
"11 February, 2017",4706,professor,0
"11 February, 2017",4752,professor,0
"11 February, 2017",4780,professor,0
"11 February, 2017",4797,professor,3
"11 February, 2017",4821,professor,2
"11 February, 2017",4828,professor,0
"11 February, 2017",4877,professor,12
"11 February, 2017",4891,professor,0
"11 February, 2017",5030,professor,0
"11 February, 2017",5055,professor,0
"11 February, 2017",5065,professor,3
"11 February, 2017",5074,professor,0
"11 February, 2017",5148,professor,3
"11 February, 2017",5149,professor,0
"11 February, 2017",5159,professor,0
"11 February, 2017",5169,professor,0
"11 February, 2017",5170,professor,1
"11 February, 2017",5177,professor,0
"11 February, 2017",5205,professor,0
"11 February, 2017",5265,professor,0
"11 February, 2017",5283,professor,0
"11 February, 2017",5311,professor,0
"11 February, 2017",5315,professor,0
"11 February, 2017",5318,professor,9
"11 February, 2017",5393,professor,1
"11 February, 2017",5429,professor,2
"11 February, 2017",5448,professor,0
"11 February, 2017",5453,professor,0
"11 February, 2017",5493,professor,0
"11 February, 2017",5495,professor,1
"11 February, 2017",5545,professor,0
"11 February, 2017",5568,professor,0
"11 February, 2017",5633,professor,1
"11 February, 2017",5728,professor,3
"11 February, 2017",5758,professor,0
"11 February, 2017",5867,professor,0
"11 February, 2017",6047,professor,0
"11 February, 2017",6178,professor,0
"11 February, 2017",6268,professor,0
"11 February, 2017",6273,professor,1
"11 February, 2017",6299,professor,0
"11 February, 2017",6318,professor,1
"11 February, 2017",6342,professor,0
"11 February, 2017",6404,professor,2
"11 February, 2017",6423,professor,1
"11 February, 2017",6427,professor,0
"11 February, 2017",6435,professor,0
"11 February, 2017",6476,professor,0
"11 February, 2017",6481,professor,0
"11 February, 2017",6489,professor,1
"13 February, 2017",6533,professor,0
"13 February, 2017",6549,professor,0
"13 February, 2017",6555,professor,0
"13 February, 2017",6560,professor,1
"13 February, 2017",6585,professor,0
"13 February, 2017",6591,professor,0
"13 February, 2017",6631,professor,0
"13 February, 2017",6647,professor,3
"13 February, 2017",6663,professor,0
"13 February, 2017",6733,professor,0
"13 February, 2017",6754,professor,0
"13 February, 2017",6772,professor,0
"13 February, 2017",6797,professor,0
"13 February, 2017",6837,professor,1
"13 February, 2017",6838,professor,0
"13 February, 2017",6850,professor,0
"13 February, 2017",6897,professor,0
"13 February, 2017",6913,professor,0
"13 February, 2017",6918,professor,0
"13 February, 2017",6924,professor,0
"13 February, 2017",6988,professor,0
"13 February, 2017",6997,professor,0
"13 February, 2017",7009,professor,3
"13 February, 2017",7082,professor,0
"13 February, 2017",7256,professor,0
"13 February, 2017",7278,professor,0
"13 February, 2017",7386,professor,0
"13 February, 2017",7616,professor,7
"13 February, 2017",7665,professor,0
"13 February, 2017",7694,professor,0
"20 February, 2017",7820,professor,0
"20 February, 2017",7844,professor,0
"20 February, 2017",7891,professor,0
"21 February, 2017",7909,professor,1
"21 February, 2017",7911,professor,0
"21 February, 2017",7916,professor,0
"21 February, 2017",7919,professor,4
"21 February, 2017",7937,professor,0
"22 February, 2017",7961,professor,0
"23 February, 2017",7969,professor,1
"23 February, 2017",7977,professor,0
"24 February, 2017",8003,professor,2
"25 February, 2017",8007,professor,2
"25 February, 2017",8019,professor,1
"27 February, 2017",8048,professor,0
"27 February, 2017",8054,professor,0
"27 February, 2017",8058,professor,0
"28 February, 2017",8067,professor,1
"28 February, 2017",8070,professor,1
"28 February, 2017",8084,professor,1
"1 March, 2017",8107,professor,0
"1 March, 2017",8109,professor,0
"1 March, 2017",8111,professor,1
"2 March, 2017",8122,professor,1
"2 March, 2017",8127,professor,2
"2 March, 2017",8145,professor,0
"3 March, 2017",8153,professor,0
"3 March, 2017",8154,professor,0
"4 March, 2017",8188,professor,0
"5 March, 2017",8209,professor,0
"6 March, 2017",8216,professor,0
"6 March, 2017",8217,professor,1
"6 March, 2017",8227,professor,0
"6 March, 2017",8229,professor,4
"7 March, 2017",8250,professor,0
"7 March, 2017",8268,professor,0
"7 March, 2017",8269,professor,0
"7 March, 2017",8270,professor,0
"7 March, 2017",8272,professor,2
"7 March, 2017",8276,professor,0
"7 March, 2017",8280,professor,2
"7 March, 2017",8290,professor,1
"7 March, 2017",8292,professor,3
"8 March, 2017",8307,professor,0
"8 March, 2017",8313,professor,0
"8 March, 2017",8317,professor,4
"8 March, 2017",8318,professor,1
"8 March, 2017",8322,professor,0
"8 March, 2017",8325,professor,12
"9 March, 2017",8337,professor,0
"9 March, 2017",8340,professor,2
"9 March, 2017",8341,professor,0
"9 March, 2017",8342,professor,0
"9 March, 2017",8343,professor,0
"9 March, 2017",8346,professor,1
"9 March, 2017",8347,professor,0
"10 March, 2017",8370,professor,0
"10 March, 2017",8376,professor,2
"11 March, 2017",8385,professor,1
"11 March, 2017",8386,professor,1
"11 March, 2017",8388,professor,0
"11 March, 2017",8389,professor,0
"12 March, 2017",8393,professor,1
"13 March, 2017",8395,professor,2
"13 March, 2017",8401,professor,0
"13 March, 2017",8403,professor,7
"13 March, 2017",8404,professor,1
"13 March, 2017",8416,professor,2
"13 March, 2017",8417,professor,0
"14 March, 2017",8424,professor,1
"14 March, 2017",8434,professor,1
"14 March, 2017",8436,professor,0
"15 March, 2017",8441,professor,0
"15 March, 2017",8443,professor,0
"15 March, 2017",8450,professor,1
"15 March, 2017",8451,professor,0
"15 March, 2017",8458,professor,0
"16 March, 2017",8462,professor,0
